"CASE_ID","ACCIDENT_YEAR","COLLISION_DATE","INTERSECTION","COLLISION_TIME","DAY_OF_WEEK","PRIMARY_RD","SECONDARY_RD","NUMBER_KILLED","NUMBER_INJURED","HIT_AND_RUN","PEDESTRIAN_ACCIDENT","BICYCLE_ACCIDENT","MOTORCYCLE_ACCIDENT","ALCOHOL_INVOLVED","COUNT_PED_KILLED","COUNT_PED_INJURED","COUNT_BICYCLIST_KILLED","COUNT_BICYCLIST_INJURED","COUNT_MC_KILLED","COUNT_MC_INJURED","COUNTY","CITY","POINT_X","POINT_Y"
"6098406",2013,2013-05-19,"Y","0508",7,"EDGEWATER DR","PENDLETON WY",0,1,"N","Y",,,,0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.19949,37.73763
"6098410",2013,2013-05-19,"Y","1110",7,"BRUSH ST","17TH ST",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.27715,37.80918
"6098414",2013,2013-05-19,"N","1224",7,"MACARTHUR BL","LAUREL ST",0,4,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.20261,37.79556
"6098724",2013,2013-04-18,"Y","1012",4,"INTERNATIONAL BL","94TH AV",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.17266,37.74714
"6098732",2013,2013-05-02,"Y","1431",4,"23RD AV","11TH AV",0,2,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.24057,37.79728
"6098740",2013,2013-05-21,"N","0925",2,"HEGENBERGER RD","COLISEUM WY",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.1962,37.74504
"6100028",2013,2013-03-10,"N","0301",7,"CLAY ST","9TH ST",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.27584,37.80178
"6100051",2013,2013-03-12,"N","0915",2,"17TH ST","MARTIN LUTHER KING JR WY",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.27484,37.80814
"6100055",2013,2013-03-12,"N","1535",2,"INTERNATIONAL BL","27TH AV",0,1,"N","Y",,,,0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.2315,37.78073
"6100203",2013,2013-05-21,"N","1335",2,"TELEGRAPH AV","65TH ST",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.26041,37.85116
"6101847",2013,2013-03-28,"N","1705",4,"3RD ST","ADELINE",0,1,"N",,"Y",,,0,0,0,1,0,0,"ALAMEDA","OAKLAND",-122.28975,37.80123
"6101851",2013,2013-03-20,"N","2020",3,"TELEGRAPH AV","39TH ST",0,1,"N","Y",,,,0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.26472,37.82829
"6101855",2013,2013-03-28,"N","0545",4,"22ND AV","INTERNATIONAL BL",0,1,"M","Y",,,,0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.23794,37.78455
"6101859",2013,2013-03-27,"N","1143",3,"98TH AV","A ST",0,1,"M",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.17299,37.74318
"6101896",2013,2013-03-24,"N","1219",7,"RT 580","38TH AV",0,1,"N",,,,"Y",0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.201,37.78978
"6101907",2013,2013-03-25,"N","1715",1,"SAN PABLO AV","FILBERT ST",0,1,"M",,"Y",,,0,0,0,1,0,0,"ALAMEDA","OAKLAND",-122.27762,37.82378
"6102083",2013,2013-05-27,"Y","1644",1,"BANCROFT AV","SEMINARY AV",0,1,"M",,,,"Y",0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.19134,37.77087
"6102087",2013,2013-05-31,"Y","1927",5,"CLEVELAND AV","SPRUCE ST",0,1,"M","Y",,,,0,1,0,0,0,0,"ALAMEDA","OAKLAND",-122.24154,37.80358
"6102127",2013,2013-05-31,"Y","1940",5,"W GRAND AV","POPLAR ST",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.28718,37.8162
"6102131",2013,2013-05-31,"N","1915",5,"MACARTHUR BL","39TH AV",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.19684,37.78958
"6102135",2013,2013-05-24,"Y","1335",5,"52ND ST","RT 24",0,3,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.25715,37.82086
"6102139",2013,2013-05-24,"Y","1247",5,"BROADWAY","LAWTON AV",0,1,"N",,"Y",,,0,0,0,1,0,0,"ALAMEDA","OAKLAND",-122.24613,37.84445
"6102143",2013,2013-05-25,"N","1650",6,"GRIZZLY PEAK BL","CENTENNIAL DR",0,2,"N",,"Y","Y",,0,0,0,1,0,1,"ALAMEDA","OAKLAND",,
"6102147",2013,2013-05-28,"Y","2355",2,"HEGENBERGER RD","RT 880",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.19968,37.74415
"6102151",2013,2013-05-29,"N","1839",3,"LAKESHORE AV","BEACON ST",0,2,"N","Y",,,,0,2,0,0,0,0,"ALAMEDA","OAKLAND",-122.24777,37.80907
"6102155",2013,2013-05-29,"Y","1830",3,"SENECA ST","THERMAL ST",0,1,"N",,,,,0,0,0,0,0,0,"ALAMEDA","OAKLAND",-122.16186,37.76009
