country,iso3c,year,value
Serbia,SRB,2014,75.53414634146344
Sub-Saharan Africa (excluding high income),SSA,1990,49.91391662408769
Sub-Saharan Africa (excluding high income),SSA,1991,49.908358903010125
Sub-Saharan Africa (excluding high income),SSA,1992,49.90410512177554
Sub-Saharan Africa (excluding high income),SSA,1993,49.90542628245678
Sub-Saharan Africa (excluding high income),SSA,1994,49.91057467203589
Sub-Saharan Africa (excluding high income),SSA,1995,49.917957764871595
Sub-Saharan Africa (excluding high income),SSA,1996,49.93226576454237
Sub-Saharan Africa (excluding high income),SSA,1997,49.96539248239565
Sub-Saharan Africa (excluding high income),SSA,1998,50.03252030233963
Sub-Saharan Africa (excluding high income),SSA,1999,50.14985277402576
Sub-Saharan Africa (excluding high income),SSA,2000,50.33939358902169
Sub-Saharan Africa (excluding high income),SSA,2001,50.620137097742536
Sub-Saharan Africa (excluding high income),SSA,2002,51.00124528608027
Sub-Saharan Africa (excluding high income),SSA,2003,51.484359633525834
Sub-Saharan Africa (excluding high income),SSA,2004,52.06033704661576
Sub-Saharan Africa (excluding high income),SSA,2005,52.71554914652344
Sub-Saharan Africa (excluding high income),SSA,2006,53.430594309814495
Sub-Saharan Africa (excluding high income),SSA,2007,54.176542997915305
Sub-Saharan Africa (excluding high income),SSA,2008,54.923806221146954
Sub-Saharan Africa (excluding high income),SSA,2009,55.65027055711835
Sub-Saharan Africa (excluding high income),SSA,2010,56.33480709775765
Sub-Saharan Africa (excluding high income),SSA,2011,56.96532827280695
Sub-Saharan Africa (excluding high income),SSA,2012,57.54459166911656
Sub-Saharan Africa (excluding high income),SSA,2013,58.07513427181279
Sub-Saharan Africa (excluding high income),SSA,2014,58.557478683453375
South Sudan,SSD,1990,43.518756097560974
South Sudan,SSD,1991,44.225926829268296
South Sudan,SSD,1992,44.925146341463424
South Sudan,SSD,1993,45.6028780487805
South Sudan,SSD,1994,46.24665853658537
South Sudan,SSD,1995,46.845512195121955
South Sudan,SSD,1996,47.3939512195122
South Sudan,SSD,1997,47.89846341463415
South Sudan,SSD,1998,48.367585365853664
South Sudan,SSD,1999,48.80629268292683
South Sudan,SSD,2000,49.21907317073171
South Sudan,SSD,2001,49.6119024390244
South Sudan,SSD,2002,49.99324390243903
South Sudan,SSD,2003,50.37409756097561
South Sudan,SSD,2004,50.762414634146346
South Sudan,SSD,2005,51.17163414634147
South Sudan,SSD,2006,51.61329268292683
South Sudan,SSD,2007,52.087853658536595
South Sudan,SSD,2008,52.59331707317074
South Sudan,SSD,2009,53.12265853658538
South Sudan,SSD,2010,53.66490243902439
South Sudan,SSD,2011,54.205
South Sudan,SSD,2012,54.727000000000004
South Sudan,SSD,2013,55.2209024390244
South Sudan,SSD,2014,55.682219512195125
Sub-Saharan Africa,SSF,1990,49.9139166240877
Sub-Saharan Africa,SSF,1991,49.90835890301012
Sub-Saharan Africa,SSF,1992,49.90687229556315
Sub-Saharan Africa,SSF,1993,49.90542628245678
Sub-Saharan Africa,SSF,1994,49.9105746720359
Sub-Saharan Africa,SSF,1995,49.91795776487159
Sub-Saharan Africa,SSF,1996,49.93226576454237
Sub-Saharan Africa,SSF,1997,49.968084040407994
Sub-Saharan Africa,SSF,1998,50.03252030233963
Sub-Saharan Africa,SSF,1999,50.14985277402576
Sub-Saharan Africa,SSF,2000,50.33939358902167
Sub-Saharan Africa,SSF,2001,50.62013709774255
Sub-Saharan Africa,SSF,2002,51.00385523817548
Sub-Saharan Africa,SSF,2003,51.48659849121922
Sub-Saharan Africa,SSF,2004,52.06262090151488
Sub-Saharan Africa,SSF,2005,52.71766016096223
Sub-Saharan Africa,SSF,2006,53.43262318657243
Sub-Saharan Africa,SSF,2007,54.17855181650353
Sub-Saharan Africa,SSF,2008,54.92572349306416
Sub-Saharan Africa,SSF,2009,55.65205554291983
Sub-Saharan Africa,SSF,2010,56.33653953512382
Sub-Saharan Africa,SSF,2011,56.96686278326732
Sub-Saharan Africa,SSF,2012,57.54618790195189
Sub-Saharan Africa,SSF,2013,58.0765604635873
Sub-Saharan Africa,SSF,2014,58.558854956293565
Small states,SST,1990,64.1539352766027
Small states,SST,1991,64.2514544561554
Small states,SST,1992,64.30616145330055
Small states,SST,1993,64.16569531017345
Small states,SST,1994,63.98914391099958
Small states,SST,1995,63.88087975765546
Small states,SST,1996,63.78531552860196
Small states,SST,1997,63.61259233714118
Small states,SST,1998,63.27823056818251
Small states,SST,1999,63.09568612147014
Small states,SST,2000,62.992250603205164
Small states,SST,2001,62.941436583335545
Small states,SST,2002,63.108712373881275
Small states,SST,2003,63.2781499095773
Small states,SST,2004,63.648620319742164
Small states,SST,2005,64.12824523635314
Small states,SST,2006,64.64899928829375
Small states,SST,2007,65.22258787310629
Small states,SST,2008,65.79590194977683
Small states,SST,2009,66.33305919395511
Small states,SST,2010,66.77690299360792
Small states,SST,2011,67.13314859516937
Small states,SST,2012,67.40800893741468
Small states,SST,2013,67.65390064745479
Small states,SST,2014,67.83853585712798
Sao Tome and Principe,STP,1990,61.77143902439025
Sao Tome and Principe,STP,1991,61.93453658536586
Sao Tome and Principe,STP,1992,62.09509756097562
Sao Tome and Principe,STP,1993,62.25514634146342
Sao Tome and Principe,STP,1994,62.41470731707318
Sao Tome and Principe,STP,1995,62.570268292682925
Sao Tome and Principe,STP,1996,62.71831707317074
Sao Tome and Principe,STP,1997,62.859902439024395
Sao Tome and Principe,STP,1998,62.99746341463414
Sao Tome and Principe,STP,1999,63.13702439024391
Sao Tome and Principe,STP,2000,63.292536585365866
Sao Tome and Principe,STP,2001,63.47797560975611
Sao Tome and Principe,STP,2002,63.701853658536585
Sao Tome and Principe,STP,2003,63.96512195121951
Sao Tome and Principe,STP,2004,64.26129268292684
Sao Tome and Principe,STP,2005,64.57690243902441
Sao Tome and Principe,STP,2006,64.89246341463415
Sao Tome and Principe,STP,2007,65.188
Sao Tome and Principe,STP,2008,65.45053658536587
Sao Tome and Principe,STP,2009,65.67260975609757
Sao Tome and Principe,STP,2010,65.85468292682927
Sao Tome and Principe,STP,2011,66.00378048780489
Sao Tome and Principe,STP,2012,66.1339024390244
Sao Tome and Principe,STP,2013,66.25951219512196
Sao Tome and Principe,STP,2014,66.38460975609757
Suriname,SUR,1990,67.5018780487805
Suriname,SUR,1991,67.58048780487806
Suriname,SUR,1992,67.6510731707317
Suriname,SUR,1993,67.71207317073171
Suriname,SUR,1994,67.76397560975612
Suriname,SUR,1995,67.8057317073171
Suriname,SUR,1996,67.83434146341465
Suriname,SUR,1997,67.85187804878049
Suriname,SUR,1998,67.86641463414635
Suriname,SUR,1999,67.88648780487806
Suriname,SUR,2000,67.92917073170732
Suriname,SUR,2001,68.0119756097561
Suriname,SUR,2002,68.14397560975611
Suriname,SUR,2003,68.32963414634146
Suriname,SUR,2004,68.56597560975611
Suriname,SUR,2005,68.846
Suriname,SUR,2006,69.15673170731708
Suriname,SUR,2007,69.47907317073171
Suriname,SUR,2008,69.795
Suriname,SUR,2009,70.0929024390244
Suriname,SUR,2010,70.36273170731707
Suriname,SUR,2011,70.59939024390243
Suriname,SUR,2012,70.80631707317075
Suriname,SUR,2013,70.99
Suriname,SUR,2014,71.15143902439026
Slovak Republic,SVK,1990,70.93268292682927
Slovak Republic,SVK,1991,70.8829268292683
Slovak Republic,SVK,1992,71.79512195121953
Slovak Republic,SVK,1993,72.4487804878049
Slovak Republic,SVK,1994,72.3
Slovak Republic,SVK,1995,72.25365853658538
Slovak Republic,SVK,1996,72.65365853658537
Slovak Republic,SVK,1997,72.7048780487805
Slovak Republic,SVK,1998,72.55121951219513
Slovak Republic,SVK,1999,72.90243902439025
Slovak Republic,SVK,2000,73.05121951219513
Slovak Republic,SVK,2001,73.40243902439026
Slovak Republic,SVK,2002,73.60487804878049
Slovak Republic,SVK,2003,73.60487804878049
Slovak Republic,SVK,2004,73.95853658536586
Slovak Republic,SVK,2005,73.90487804878049
Slovak Republic,SVK,2006,74.2048780487805
Slovak Republic,SVK,2007,74.20731707317074
Slovak Republic,SVK,2008,74.7048780487805
Slovak Republic,SVK,2009,74.90975609756099
Slovak Republic,SVK,2010,75.11219512195122
Slovak Republic,SVK,2011,75.95853658536586
